account_id,customer_name,residential_loc
1057,Richard Aguirre,"(43.587186, -76.298177)"
1058,Brent Jordan,"(72.0017025, -96.649386)"
1059,John Daniel,"(74.602369, 1.138468)"
1060,Victoria Garcia,"(32.0487675, 173.523053)"
1061,Gerald Hensley,"(57.0973775, 28.760021)"
1062,Connor West,"(30.2417915, -117.518089)"
1063,Donald Wright,"(89.504152, 117.674439)"
1064,Jessica Callahan,"(-72.4272525, 1.647023)"
1065,Amber Kidd,"(-23.9052385, 16.330210)"
1066,Tracy House,"(-52.0482255, -51.445536)"
1067,Carol Tucker,"(41.7395725, -78.885633)"
1068,James Brown,"(18.5243475, -157.671330)"
1069,William Baker,"(6.1861705, -148.526384)"
1070,Jordan Henderson,"(38.9626735, 174.152276)"
1071,Whitney Peters,"(68.681114, -126.967695)"
1072,Brittney Phillips,"(49.5445085, -131.169728)"
1073,Lauren Daniels,"(88.1103065, 171.545292)"
1074,Amy Silva,"(-3.952194, 103.112158)"
1075,Sarah Moore,"(61.128274, 128.747371)"
1076,Angela Lopez,"(52.787713, 100.070962)"
1077,Megan Young,"(15.8132065, 113.336129)"
1078,Steve Sanchez,"(82.657284, -72.125408)"
1079,Lisa Barnes,"(-14.1504595, -8.031431)"
1080,Kelly Donovan,"(-53.6335275, 60.466932)"
1081,Mike Allen,"(-36.838635, -22.718755)"
1082,Michael Evans,"(78.1316695, 48.878378)"
1083,Paul Jones,"(18.511835, 53.613376)"
1084,Zachary Ferrell,"(11.218138, -135.767801)"
1085,Daniel Baker,"(41.658288, -167.204138)"
1086,Shirley Suarez,"(41.866074, -123.994432)"
1087,Christopher Bass,"(-3.6941085, 121.320405)"
1088,Lisa Archer,"(39.950808, 147.310457)"
1089,Aimee Montoya,"(14.3700295, -15.772486)"
1090,Matthew Mcmillan,"(43.5774035, -25.813930)"
1091,Brian Rodriguez,"(-75.2050355, 103.226316)"
1092,Denise Jacobs,"(-78.824349, -79.025912)"
1093,Christina Walters,"(-66.0589125, -15.116300)"
1094,John Whitehead,"(67.697738, 126.700881)"
1095,Anna Henderson,"(55.703285, -86.928725)"
1096,Aaron Wise,"(82.0489895, -11.608489)"
1097,Deborah Figueroa,"(-77.1269005, 106.845905)"
1098,Jessica Smith,"(-82.4937105, -154.655643)"
1099,Stephen Mckee,"(-8.6785735, 26.642363)"
1100,Sandra Aguilar,"(-39.469976, 8.852721)"
1101,Cameron Parker,"(54.354836, -151.849037)"
1102,Rebecca Valencia,"(26.4483915, 92.931658)"
1103,Christine Wright,"(50.6560015, -84.281224)"
1104,Richard Henson,"(46.5653535, 19.084578)"
1105,Marc Moore,"(-77.9953775, -64.844858)"
1106,Sharon Cherry,"(-63.5186455, 65.475501)"
1107,Sierra Johnson,"(-40.1500885, -61.047048)"
1108,Evelyn Galvan,"(-4.017297, -140.828029)"
1109,Sharon Cochran,"(-35.3443315, 85.898853)"
1110,Richard Rodriguez,"(-34.5044755, 126.631313)"
1111,Shannon Walker,"(81.9117415, 149.111022)"
1112,Julia Torres,"(-85.8143635, -155.715245)"
1113,Crystal Johnson,"(12.4051005, -69.388576)"
1114,Garrett Lin,"(-58.7726295, -24.070310)"
1115,Diana May,"(-88.7279425, -50.943008)"
1116,William Herrera,"(87.0584665, -2.429575)"
1117,Ashley Waller,"(-42.471423, 29.334432)"
1118,Victor Baker,"(-28.6969045, 19.599895)"
1119,Jeffrey Chandler,"(17.8999765, -155.971383)"
1120,Larry Dixon,"(-48.143130, -103.941810)"
1121,Kenneth Scott,"(70.7261685, -47.836791)"
1122,April Frost,"(76.9034355, 178.915817)"
1123,Michelle Harmon,"(-20.6939135, 47.010816)"
1124,Helen Jones,"(63.153093, 156.183418)"
1125,Erin Edwards,"(-6.855003, -70.007885)"
1126,Michelle Evans,"(85.3786425, -33.640971)"
1127,Jason Powell,"(19.8447035, -174.509205)"
1128,Cameron Fisher,"(21.6389145, 42.071204)"
1129,Megan Orr,"(11.2355365, -30.703351)"
1130,Elizabeth Kelley,"(-39.132418, 82.109232)"
1131,Dustin Jordan,"(-21.9716155, 142.192141)"
1132,Mary Marshall,"(-87.200298, 156.369541)"
1133,Daniel Kennedy,"(16.157761, -157.559146)"
1134,Rebecca Jackson,"(30.561935, -110.803650)"
1135,Jose Schultz,"(87.962783, -60.291428)"
1136,Robert Potter,"(-71.0687635, 162.307313)"
1137,Courtney Gonzalez,"(-59.296252, -118.110379)"
1138,David Alvarez,"(-47.339209, 82.281203)"
1139,Angel Perry,"(-72.148957, -81.560121)"
1140,Cheyenne Horton,"(54.1336545, -4.239972)"
1141,David Douglas Jr.,"(-45.0728355, -42.293062)"
1142,Patricia Rodriguez,"(16.8922175, -27.095521)"
1143,Christopher Rubio,"(53.951221, -26.219253)"
1144,Amber Wright,"(-13.575131, 126.074580)"
1145,Joyce Solis,"(-19.8043445, -121.753773)"
1146,Victoria Larson,"(-57.948617, 32.013672)"
1147,Stephanie Salazar,"(-35.742188, -133.559023)"
1148,Kathy Rivas,"(58.914564, 87.344113)"
1149,Stephanie Manning,"(-36.101336, -111.755639)"
1150,David Wright,"(49.110113, -160.836293)"
1151,Pamela Boyd,"(35.884683, 77.064417)"
1152,Denise Jones,"(-60.648222, -120.189022)"
1153,Devon Flores,"(-28.6235535, -159.582128)"
1154,Brenda Hall,"(14.170096, -80.958951)"
1155,Michelle Brown,"(-67.556641, -143.814699)"
1156,Joshua Perry,"(-25.1052335, 54.048137)"
1157,Jason Stein,"(75.173927, 19.126441)"
1158,Melissa Gates,"(27.603871, -103.357003)"
1159,Jamie Smith,"(28.654865, 140.512727)"
1160,Paul Castaneda,"(-78.980213, 175.879251)"
1161,Jennifer Adkins,"(45.1892735, -78.547815)"
1162,Lindsey Walker,"(-33.512764, -9.317294)"
1163,Jeffrey Johnson,"(-78.253830, 125.372902)"
1164,Michael Powell,"(-86.1852275, -98.014160)"
1165,John Anderson,"(1.629768, -45.351616)"
1166,Alyssa Long,"(-42.8817905, 7.967749)"
1167,Alyssa Day,"(34.0266915, -72.277232)"
1168,Joel Williams,"(82.9087195, -149.705364)"
1169,Daniel Murphy,"(15.0419785, 24.029384)"
1170,Jamie Walton,"(-48.9031995, -23.338062)"
1171,Darlene Miller,"(45.719516, -145.828498)"
1172,Joshua Cooke,"(-29.538780, -81.235530)"
1173,Matthew Harrington,"(78.3663775, -75.664994)"
1174,Nicole Herring,"(0.164417, 173.267618)"
1175,Alex Hernandez,"(27.808696, -166.411974)"
1176,Michael Elliott,"(28.254004, -142.750351)"
1177,Michael Wang,"(-24.024976, 143.013783)"
1178,Lawrence Adkins,"(51.8833335, -25.485041)"
1179,Robert Oconnell,"(59.479124, -93.511169)"
1180,Alexander Collins,"(-51.516167, 113.734615)"
1181,Tina Sanders,"(-4.7573655, -149.552370)"
1182,Angela Vaughn,"(-60.1054715, -145.032873)"
1183,Ashley Barton,"(20.0381815, 98.124532)"
1184,Lindsay Martinez,"(53.4180235, -170.625263)"
1185,Dr. Hannah Patterson,"(76.0504755, -88.777452)"
1186,Jonathan Peterson,"(-3.656056, 18.842033)"
1187,Samantha Garcia,"(-79.6840185, -102.966286)"
1188,Madison Poole,"(-62.138387, -54.553685)"
1189,Jessica Gross,"(-88.415800, 24.662383)"
1190,Debra Morton,"(-89.081696, 122.103522)"
1191,Karen Graham,"(-74.318662, 28.052116)"
1192,Debra Christian,"(62.190764, -115.767643)"
1193,Angelica Keith,"(-29.731389, 157.308798)"
1194,John Bishop,"(-80.552355, 122.601254)"
1195,Allen Rosales,"(56.4536975, -140.312348)"
1196,Daniel Salinas,"(-84.6867605, 168.355471)"
1197,Spencer Haynes,"(37.890231, 126.817360)"
1198,Adam Vaughan,"(83.084539, 27.261567)"
1199,Nathan Freeman,"(-14.1754535, 150.738838)"
1200,Melissa Brewer,"(13.822013, 61.415389)"
1201,Ricky Davis II,"(-26.2012015, 83.368648)"
1202,Elizabeth Perkins,"(74.445843, -45.759555)"
1203,Joseph Coleman,"(2.6494905, 161.824406)"
1204,Erin Warner,"(32.133913, 77.230467)"
1205,David Martinez,"(-48.8923535, 63.859220)"
1206,Bryan Herrera,"(54.0034545, 13.346084)"
1207,Cathy Robinson,"(-29.913451, -102.471865)"
1208,Dr. William Warren,"(-12.9956635, 162.036812)"
1209,Brian Lee,"(-43.197432, 28.548458)"
1210,Christopher Smith,"(-20.955462, -93.930656)"
1211,Denise Mccann,"(8.8052105, -168.759467)"
1212,Melissa Martinez,"(25.893407, -19.015144)"
1213,Katherine Salas,"(-51.349650, -157.153518)"
1214,Julie Alexander,"(33.462074, 40.316495)"
1215,Anthony Everett,"(55.357402, -58.138029)"
1216,Rodney Morales,"(17.973048, -112.878133)"
1217,Mark Brown,"(78.1747885, 9.483957)"
1218,Justin Torres,"(-34.1383345, 37.858113)"
1219,Bailey Duran DDS,"(23.049082, 44.264736)"
1220,Courtney Mills,"(33.6364155, 62.833052)"
1221,Jeremy Dalton,"(29.156588, 28.543669)"
1222,Elizabeth Oliver DDS,"(34.4244395, 15.184929)"
1223,Theresa Clark,"(0.6778555, -4.974186)"
1224,Matthew Moore,"(88.6098185, 34.148714)"
1225,Benjamin Smith,"(-54.2673015, 104.507637)"
1226,Kirk Carter,"(-34.7250905, -47.925935)"
1227,Michael Warner,"(-31.760430, -77.476408)"
1228,Michael Bradshaw,"(62.575114, -75.523883)"
1229,Lori Guerrero,"(86.986469, 152.256659)"
1230,Jessica Stephens,"(7.553445, 68.773059)"
1231,Susan Serrano,"(57.157796, 39.155049)"
1232,Christopher Parker,"(10.6140755, 165.744892)"
1233,Laura Roberts,"(-7.617432, -65.370713)"
1234,Michael Lyons,"(15.449382, -104.123233)"
1235,Kathryn Snyder,"(36.2270625, -121.668877)"
1236,Andrew Reynolds,"(55.7144705, 170.167308)"
1237,David Davis,"(31.4186755, -18.766782)"
1238,Sara Johnston,"(77.3953005, 41.254087)"
1239,Yvonne Chambers,"(-76.340471, -72.942708)"
1240,Andrew Avila,"(-31.701688, 1.292262)"
1241,Matthew Moon,"(58.0939815, -95.861941)"
1242,Kevin Walters,"(87.0738415, 26.314391)"
1243,Brandon Bailey MD,"(48.915578, 51.812172)"
1244,Shannon Rivera,"(-41.597000, 57.823261)"
1245,Donna Landry,"(-83.601735, -69.161238)"
1246,Krista Gibson,"(13.6082135, 124.616747)"
1247,Frank Cordova,"(89.0447155, -87.475241)"
1248,Jose Travis,"(-16.6312265, 122.453744)"
1249,Kimberly Gutierrez,"(-48.1628085, 164.262104)"
1250,Isaiah Avila,"(17.8778965, 128.737894)"
1251,Olivia Harris,"(-36.9008485, -99.102542)"
1252,Tanya Kim,"(20.404747, -10.085355)"
1253,Barbara Dudley,"(35.7834235, -48.091634)"
1254,Cynthia Moore,"(-54.954387, 81.287014)"
1255,Kristen Davis,"(-5.1167895, 147.683479)"
1256,Susan Murray MD,"(74.369712, 104.857321)"
1257,Kathleen Moran,"(78.6004495, -161.047584)"
1258,Denise Davenport,"(-63.9444175, -144.910630)"
1259,Mrs. Kristen Reyes,"(-66.981644, -168.475489)"
1260,Katie Suarez,"(-87.6730195, -151.678605)"
1261,Desiree Tyler,"(-1.011329, -131.710087)"
1262,Timothy Romero,"(-5.900815, 11.499896)"
1263,Diane Evans,"(-35.5057045, -99.145666)"
1264,Yvonne Burns,"(-32.820066, -14.878996)"
1265,Joshua Reed,"(-72.277064, 14.851962)"
1266,Kimberly Gibson,"(77.297480, -10.617211)"
1267,Colin Terry,"(66.618269, 59.775689)"
1268,Cynthia Rowe,"(37.530284, 1.795641)"
1269,Patrick Thornton,"(-42.965278, -24.446458)"
1270,Jasmin Alvarado,"(-8.599504, -125.507878)"
1271,Veronica Simpson,"(60.8305425, -94.201371)"
1272,Jonathan Lawrence,"(-49.1932745, -92.352202)"
1273,Shelly Alexander,"(21.4506085, -116.412759)"
1274,Joyce Bowen,"(52.889583, 151.941320)"
1275,Matthew Moore,"(19.972608, -95.023846)"
1276,Wayne Morgan,"(60.7705515, 116.525188)"
1277,Marie Christian,"(78.7606715, 72.097226)"
1278,Shannon James,"(-14.5066585, -46.109873)"
1279,Nathan Malone,"(-59.570040, 176.412003)"
1280,Amanda Jones,"(-50.6349375, 58.855956)"
1281,Tammie Bright,"(-63.9432565, -158.858911)"
1282,Jessica Garcia,"(-53.6004905, 24.520515)"
1283,Shelia Wallace,"(36.9197965, 23.672584)"
1284,Stephanie Williams,"(38.0115135, -88.486083)"
1285,Elaine Brooks,"(-84.6436065, 134.700507)"
1286,Joseph Knight,"(7.276775, 56.725990)"
1287,Carolyn Miller,"(67.0055365, 127.041979)"
1288,Lisa Allen,"(-41.1893965, 60.160298)"
1289,Briana Murray,"(-84.669768, 84.015415)"
1290,David Smith,"(62.144654, 4.591690)"
1291,Stephanie Byrd,"(1.208098, -134.360331)"
1292,Jeremy Reed,"(9.312572, -143.014967)"
1293,Margaret Coleman,"(-42.423715, -107.552815)"
1294,Ryan Gonzalez,"(77.512072, -18.882604)"
1295,John Young,"(15.660422, -99.745313)"
1296,Laura Haney,"(-60.211231, 179.115029)"
1297,William Barrett,"(-37.0828295, 160.495755)"
1298,Keith Jennings,"(-3.913130, -23.046079)"
1299,Amber Obrien,"(-67.7003425, 10.434474)"
1300,Tanner Mitchell DDS,"(71.816262, 85.616829)"
1301,Heather Fields,"(-85.716970, 153.859721)"
1302,Megan Le,"(68.4635525, 44.271735)"
1303,Sara Fuller,"(-44.618260, 16.073835)"
1304,Maria Parker,"(-22.162126, -76.908359)"
1305,Kevin Oconnor,"(47.8208835, -29.544163)"
1306,Edward Burgess,"(49.702295, -167.413416)"
1307,Carlos Ryan,"(41.4284295, -8.970351)"
1308,Kiara Mcintyre,"(-45.202975, -152.076769)"
1309,Dawn Summers,"(84.3233585, -51.793118)"
1310,Dr. Paul Morgan,"(-7.6879925, -38.742076)"
1311,Victor Taylor,"(30.5090155, 52.438086)"
1312,Shannon Ramsey,"(0.6017525, -158.280490)"
1313,Tracy Ballard,"(-16.760998, 172.559577)"
1314,Richard Smith,"(32.966932, 174.018329)"
1315,Jordan Chambers,"(-68.459616, -1.265547)"
1316,Lauren Carson,"(57.981519, -163.156316)"
1317,Ashley Hall,"(-54.9289475, 155.098535)"
1318,Stephen Hoffman,"(-87.133679, 127.977396)"
1319,Connie Brown,"(-84.842775, -17.483555)"
1320,Susan Turner,"(12.1856255, -72.817807)"
1321,Charles Shah,"(36.197136, 24.020039)"
1322,Johnathan Davis,"(14.2595635, -160.681691)"
1323,Brandy Chavez,"(-17.446275, 21.402806)"
1324,Natalie Bautista,"(0.0963115, 16.920972)"
1325,Patrick Moore,"(47.595777, 47.909339)"
1326,Brett Burns,"(19.305585, 3.678940)"
1327,Trevor Johnson,"(-54.4752175, 5.885698)"
1328,Jeremy Sampson,"(-19.780524, 116.558178)"
1329,Ariana Jennings,"(-38.217879, 82.438835)"
1330,Vanessa Howard,"(-14.3975325, -36.831273)"
1331,Colton Martinez,"(-67.6376835, 61.524381)"
1332,Jordan Bates,"(-67.237935, 177.675529)"
1333,Linda Smith,"(-4.472727, 93.155237)"
1334,Dana Martinez,"(-59.525791, -167.647968)"
1335,Andrea Hubbard,"(-55.4991115, -122.528180)"
1336,Daniel Kane,"(-24.780645, -140.048949)"
1337,Charles Lester,"(-42.458143, 20.461313)"
1338,Scott Thomas,"(-72.5626555, -97.318592)"
1339,David Thompson,"(63.520600, -52.790946)"
1340,Allison Smith,"(-66.542211, -139.513733)"
1341,Cynthia Morris,"(-87.410876, -172.780578)"
1342,Anthony Harmon,"(1.572676, 151.496675)"
1343,Nichole Alvarez,"(-71.1067675, -96.117255)"
1344,Kayla Rodriguez,"(66.432081, 156.149036)"
1345,Theresa Williams,"(33.685125, 158.767109)"
1346,Sharon Boyd,"(-1.174537, 176.985911)"
1347,Victor Brown,"(-61.5907405, 148.868429)"
1348,James Parks,"(-57.2566725, -149.845886)"
1349,Theodore Jones Jr.,"(-52.763992, -72.882816)"
1350,Ana Hill,"(-68.2149585, -80.370282)"
1351,Kimberly Nguyen,"(-65.383427, -130.830178)"
1352,Kerry Chavez DDS,"(-88.968903, 52.448659)"
1353,Michael Farrell,"(-27.434206, -67.139512)"
1354,Patricia Le,"(-76.578596, -137.366031)"
1355,Jesse Perez,"(13.8579335, -7.983901)"
1356,Jesse Perry,"(77.8934225, 104.183750)"
1357,Jeffery Ortega,"(-38.288974, 75.574233)"
1358,Christian Leblanc,"(-37.0377515, 85.912366)"
1359,Ronald Davis,"(72.5263465, -80.107177)"
1360,Parker Cain,"(35.952723, -25.347092)"
1361,Laurie Hoffman,"(68.8633375, -147.107882)"
1362,Bryan Gomez,"(28.787072, -80.717618)"
1363,Nicole Parrish,"(46.253648, -176.610523)"
1364,Tracy Burke,"(-68.643732, -85.590764)"
1365,Kenneth Lewis,"(-36.9248065, -38.662505)"
1366,Courtney Rodriguez,"(-51.3740785, 110.983194)"
1367,Holly Farmer,"(64.4669085, -78.345862)"
1368,Renee Bruce,"(-56.7112365, -139.316050)"
1369,Sabrina Austin,"(-39.4808455, -79.579344)"
1370,Allison Hickman,"(-3.723383, -57.746148)"
1371,Debra White,"(-46.399753, 31.885752)"
1372,Ellen Morgan,"(80.536218, 137.993044)"
1373,Sergio Knight,"(-10.3499675, 142.956824)"
1374,Charles Schultz,"(20.671103, 92.008038)"
1375,Paul Lewis,"(81.9584055, -26.775422)"
1376,Glen Wood,"(-31.411753, 48.987959)"
1377,Paula Bradley,"(-22.636178, 5.091102)"
1378,Anthony Moore,"(-25.368610, 104.837318)"
1379,Megan Nelson,"(-88.125498, 171.565711)"
1380,Karla Ramos,"(-22.443339, -28.898146)"
1381,Paul Wilson,"(-46.7109785, -145.289504)"
1382,Douglas Gregory,"(-73.459121, -146.293646)"
1383,Mr. Andrew Foster,"(42.5864585, 4.803451)"
1384,Aimee Turner,"(-73.785432, 152.776957)"
1385,Chad Scott,"(25.4526895, -137.076307)"
1386,Adam Burgess,"(29.703962, -173.558117)"
1387,James Padilla,"(-66.315487, -9.061349)"
1388,Sandra Drake,"(67.877259, 14.067981)"
1389,Scott Williams,"(72.539509, -144.631584)"
1390,Thomas Atkins,"(62.7937655, -39.105047)"
1391,Laura Mckinney,"(-4.3519155, 62.014400)"
1392,Brian Smith,"(6.130099, 77.938991)"
1393,Robert Montgomery,"(9.440140, 88.271675)"
1394,Tamara Davis,"(-9.4030135, 82.576829)"
1395,Dana Chapman,"(-5.852283, 113.086901)"
1396,Jennifer Collins,"(-38.9207445, -57.533504)"
1397,Gary Jackson,"(67.633118, -88.435086)"
1398,Ashley Hicks,"(-78.5379455, 9.459040)"
1399,Hannah Luna,"(19.986702, 69.615346)"
1400,Robin Young,"(33.920602, -5.856379)"
1401,Craig Morrison,"(18.2443645, 68.906163)"
1402,Mary Thompson,"(34.659433, 62.760362)"
1403,Kathleen Webster,"(-49.013973, -103.719831)"
1404,Joann Glass,"(13.499093, 45.269508)"
1405,Madison Weber,"(-83.428749, -105.143004)"
1406,Lori Hernandez,"(-4.980183, 24.793354)"
1407,Jeremy Turner,"(79.703027, -99.800114)"
1408,Anthony Romero,"(17.2180205, 16.339089)"
1409,Jesse Brown,"(-86.2552805, 53.206667)"
1410,Angela Lin,"(87.6430875, -87.239469)"
1411,Lisa Hunter,"(-49.4558715, 138.330714)"
1412,Julian Conner,"(-40.6321375, -63.502346)"
1413,Joanna Pacheco,"(-64.539915, -171.201028)"
1414,Erica Alvarez,"(15.0365515, 73.557810)"
1415,Antonio Garcia,"(-49.761572, -34.566996)"
1416,Gwendolyn Klein,"(0.547364, -73.830294)"
1417,Carrie Wright,"(-84.180140, 86.997948)"
1418,Jeffrey Mills,"(15.288949, -95.004561)"
1419,Jake Campbell,"(-8.523900, 114.918565)"
1420,George Harper,"(-15.463635, -57.733398)"
1421,Maria Jones,"(-39.0117435, 81.206365)"
1422,Michael Mitchell,"(72.8933445, 87.972077)"
1423,Mary Escobar,"(26.193963, 53.596599)"
1424,Felicia Aguilar,"(-47.098471, 81.639817)"
1425,Gregory Ponce,"(88.7214295, -147.916372)"
1426,Jenna Larson,"(4.856876, -123.085506)"
1427,Emily Bennett,"(-72.040037, -6.439031)"
1428,Robin Santiago,"(37.9632495, 146.319618)"
1429,Nancy Jennings,"(-12.3357545, -104.044688)"
1430,Maria Henderson,"(-26.8767535, 98.508602)"
1431,Jack White,"(42.669281, -63.819066)"
1432,Travis Tucker,"(21.761870, 83.338873)"
1433,Chad Jones,"(-86.519040, -14.639639)"
1434,Ashley Wise,"(79.5193005, -94.850985)"
1435,Sophia Johnson,"(0.8870125, 158.475119)"
1436,Ralph Anderson,"(-6.620748, 152.044023)"
1437,Christopher Guerra,"(25.158120, 148.364616)"
1438,Rhonda Martin,"(-57.2918405, 141.647859)"
1439,Jason Rhodes,"(-55.2569145, 104.346551)"
1440,Jeremy Mitchell,"(-14.3288165, 3.125186)"
1441,Joann Ferguson,"(10.221636, -111.208841)"
1442,Robert Harrison,"(9.2050305, 123.507991)"
1443,Holly Valentine,"(37.1103755, -146.110026)"
1444,Mrs. Diane Reyes,"(-85.2460655, 60.023285)"
1445,Tracy Montoya,"(9.3234055, 43.875481)"
1446,Brenda Wright,"(-23.935390, -67.549175)"
1447,Shelly Spencer,"(-2.436189, -54.673743)"
1448,Ryan Rosales,"(-6.1039775, 160.307130)"
1449,Phillip Nelson,"(37.8256575, -29.390883)"
1450,Brittany Kim,"(58.9805365, 2.942703)"
1451,Courtney Hayes,"(64.946259, -2.263132)"
1452,Alexander Brown,"(-37.8221145, -111.746076)"
1453,Cynthia Vang,"(-3.608679, 159.668419)"
1454,Alfred Galvan,"(63.618889, -57.095914)"
1455,Marie Moody,"(69.137875, 147.162218)"
1456,Dustin Gallegos,"(-26.376000, -46.265958)"
1457,Brenda Thornton,"(41.1543205, 122.418320)"
1458,Aaron Miller,"(36.0982375, -169.586160)"
1459,Ruben Dunn,"(-5.856209, 94.319809)"
1460,Kelsey Rodriguez,"(-64.342226, 26.235385)"
1461,Eric Williams,"(-50.1761355, 154.796457)"
1462,Riley Bryant,"(-3.6564105, -136.348277)"
1463,Taylor Carlson,"(52.065589, 83.571662)"
1464,Jose Allen,"(34.2022035, 143.518290)"
1465,Jeffrey Mendez,"(-18.5942025, -144.069676)"
1466,Jason Beck,"(30.657690, 29.152278)"
1467,William Jones,"(-38.1431765, -31.710690)"
1468,Katie Mcneil,"(-51.5913525, 15.304219)"
1469,Jeanette Harrison,"(-74.156603, 74.340949)"
1470,Veronica King,"(-23.807678, -60.098840)"
1471,Richard Cooper,"(79.938386, -178.360809)"
1472,Lori Ingram,"(-2.164059, 11.216655)"
1473,Evelyn Williams,"(76.605142, 79.068735)"
1474,Robin Thompson,"(60.8279515, -101.552317)"
1475,Julie Dominguez,"(-16.7821995, -8.182160)"
1476,Robin Brown,"(40.110050, -11.332189)"
1477,Judith Carter,"(72.3419845, 107.929330)"
1478,Curtis Williams,"(-36.2972485, 166.733556)"
1479,Kaylee Hays,"(-39.4817745, 140.827178)"
1480,Dawn Mullins,"(72.425305, -115.380920)"
1481,Howard Norman,"(-10.645225, -147.485514)"
1482,Evelyn Martinez,"(-37.6703645, 101.053096)"
1483,Steve Paul,"(45.326164, -28.357452)"
1484,Jasmine Beltran,"(-23.3672155, 21.868246)"
1485,Jonathan Glass MD,"(23.545869, -174.140582)"
1486,Monica Miller,"(-9.9587175, -39.883199)"
1487,Samantha Gardner,"(-35.1747345, -102.658590)"
1488,Bobby Guerrero,"(-10.5153555, -166.425918)"
1489,Lance Simmons,"(-82.2633595, 169.843858)"
1490,Heather Williams,"(82.869286, 46.249874)"
1491,Heather Bolton,"(-68.8715335, 17.907609)"
1492,William Gould,"(34.806240, -100.749937)"
1493,Mark Cox,"(29.9061175, 156.022066)"
1494,Meghan Cisneros,"(12.547566, 118.105287)"
1495,Lawrence Harrington,"(-47.8614275, 138.818143)"
1496,Austin Osborne,"(29.222729, -11.375817)"
1497,James Bradley,"(-61.077458, -33.137860)"
1498,Meghan Rush,"(32.391330, -31.850767)"
1499,Phillip Berry,"(-36.9086515, 145.635008)"
1500,Jennifer Banks,"(31.690781, -27.119146)"
1501,Brian Fitzgerald,"(-46.271571, 134.864232)"
1502,Mr. Justin Green III,"(-55.4964655, -6.696073)"
1503,Zachary Mitchell,"(-85.448349, -113.473672)"
1504,Katherine Martinez,"(-75.9276785, -4.691225)"
1505,Jodi Roach,"(58.3307555, 76.141926)"
1506,Brandon Fleming,"(9.004901, -103.897023)"
1507,Emma Reed,"(-5.370695, 21.342187)"
1508,Joshua Vance,"(57.6736255, -166.328441)"
1509,Michelle Ho,"(78.8164655, 53.141359)"
